word	 tag
So	 ADV
,	 PUNCT
la	 DET
niña	 NOUN
está	 VERB
,	 PUNCT
yo	 PRON
creo	 VERB
que	 SCONJ
se	 PRON
ve	 VERB
que	 SCONJ
,	 PUNCT
you	 PRON
know	 VERB
,	 PUNCT
está	 AUX
hablando	 VERB
con	 ADP
su	 DET
abuela	 NOUN
,	 PUNCT
o	 CCONJ
bailando	 VERB
.	 PUNCT
Okay	 INTJ
,	 PUNCT
y	 CCONJ
la	 DET
niña	 NOUN
se	 PRON
va	 VERB
con	 ADP
,	 PUNCT
se	 PRON
va	 VERB
de	 ADP
su	 DET
casa	 NOUN
y	 CCONJ
va	 VERB
en	 ADP
un	 DET
camino	 NOUN
con	 ADP
su	 DET
comida	 NOUN
.	 PUNCT
Y	 CCONJ
allí	 ADV
está	 VERB
un	 DET
lobo	 NOUN
.	 PUNCT
Y	 CCONJ
la	 DET
niña	 NOUN
no	 ADV
lo	 PRON
ve	 VERB
al	 ADP
lobo	 NOUN
,	 PUNCT
pero	 CCONJ
el	 DET
lobo	 NOUN
quiere	 VERB
comer	 VERB
a	 ADP
la	 DET
niña	 NOUN
.	 PUNCT
Y	 CCONJ
el	 DET
lobo	 NOUN
va	 VERB
a	 ADP
la	 DET
casa	 NOUN
,	 PUNCT
yo	 PRON
creo	 VERB
de	 ADP
la	 DET
abuela	 NOUN
,	 PUNCT
y	 CCONJ
el	 DET
lobo	 NOUN
ataca	 VERB
a	 ADP
la	 DET
abuelita	 NOUN
.	 PUNCT
Y	 CCONJ
allí	 ADV
llega	 VERB
la	 DET
niña	 NOUN
con	 ADP
las	 DET
flores	 NOUN
y	 CCONJ
no	 ADV
sabe	 VERB
que	 SCONJ
,	 PUNCT
este	 PRON
,	 PUNCT
el	 DET
lobo	 NOUN
comió	 VERB
su	 DET
abuelita	 NOUN
.	 PUNCT
Y	 CCONJ
la	 DET
niña	 NOUN
va	 VERB
a	 ADP
ver	 VERB
a	 ADP
su	 DET
abuelita	 NOUN
.	 PUNCT
La	 PRON
veo	 VERB
pero	 CCONJ
ella	 PRON
no	 ADV
sé	 VERB
que	 SCONJ
es	 AUX
su	 DET
abuela	 NOUN
.	 PUNCT
Entonces	 ADV
el	 DET
lobo	 NOUN
brinca	 VERB
de	 ADP
la	 DET
cama	 NOUN
y	 CCONJ
va	 VERB
a	 ADP
atacar	 VERB
a	 ADP
la	 DET
niña	 NOUN
.	 PUNCT
Pero	 CCONJ
los	 DET
hombres	 NOUN
vienen	 VERB
con	 ADP
una	 DET
pistola	 NOUN
y	 CCONJ
un	 DET
perro	 NOUN
.	 PUNCT
Y	 CCONJ
el	 DET
lobo	 NOUN
comió	 VERB
a	 ADP
la	 DET
niña	 NOUN
.	 PUNCT
Pero	 CCONJ
el	 DET
hombre	 NOUN
tiene	 VERB
su	 DET
,	 PUNCT
mm	 X
,	 PUNCT
no	 INTJ
,	 PUNCT
I	 PRON
do	 AUX
n’t	 PART
know	 VERB
...	 PUNCT
I	 PRON
forgot	 VERB
what	 PRON
that	 PRON
is	 AUX
.	 PUNCT
I	 PRON
’m	 VERB
a	 ADP
...	 PUNCT
scissors	 NOUN
.	 PUNCT
I	 PROPN
’m	 AUX
just	 ADV
gonna	 AUX
say	 VERB
scissors	 NOUN
.	 PUNCT
Y	 CCONJ
lo	 PRON
corta	 VERB
al	 ADP
lobo	 NOUN
de	 ADP
su	 DET
estómago	 NOUN
,	 PUNCT
y	 CCONJ
allí	 ADV
sale	 VERB
la	 DET
niña	 NOUN
y	 CCONJ
la	 DET
abuela	 NOUN
.	 PUNCT
Y	 CCONJ
aquí	 ADV
viene	 VERB
la	 DET
niña	 NOUN
con	 ADP
rocas	 NOUN
y	 CCONJ
el	 DET
perro	 NOUN
también	 ADV
.	 PUNCT
Y	 CCONJ
el	 DET
hombre	 NOUN
va	 VERB
a	 ADP
poner	 VERB
los	 DET
rocas	 NOUN
en	 ADP
el	 DET
lobo	 NOUN
.	 PUNCT
Y	 CCONJ
el	 DET
lobo	 NOUN
va	 VERB
corriendo	 VERB
,	 PUNCT
se	 PRON
cae	 VERB
.	 PUNCT
Y	 CCONJ
todos	 PRON
están	 AUX
riendo	 VERB
del	 ADP
lobo	 NOUN
.	 PUNCT
Entonces	 ADV
ya	 ADV
se	 PRON
va	 VERB
la	 DET
niña	 NOUN
con	 ADP
el	 DET
hombre	 NOUN
y	 CCONJ
perro	 NOUN
y	 CCONJ
dicen	 VERB
adiós	 NOUN
a	 ADP
la	 DET
abuelita	 NOUN
.	 PUNCT
